                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.29777,                 0.5283,                0.21395,                 0.9374,                0.99972,                0.99845,                  0.995,                0.98774,                0.99972,                0.99845,                  0.995,                0.98309,                0.22042,                0.32467,                0.20539,                0.50418,               0.001307,               0.001307,               0.001307
                     37,                0.29531,                0.52674,                 0.2132,                0.93758,                      1,                0.99998,                  0.995,                0.98657,                      1,                0.99998,                  0.995,                0.97832,                0.25622,                0.33782,                 0.4553,                0.54079,              0.0012872,              0.0012872,              0.0012872
                     38,                0.30079,                  0.547,                 0.2211,                0.93743,                 0.9996,                      1,                  0.995,                0.98744,                 0.9996,                      1,                  0.995,                0.98326,                0.20566,                0.31999,                 0.2095,                0.51205,              0.0012674,              0.0012674,              0.0012674
                     39,                0.29437,                0.52701,                0.21311,                0.93731,                0.99983,                      1,                  0.995,                0.98784,                0.99983,                      1,                  0.995,                0.98475,                0.23986,                0.31965,                 0.3186,                0.50829,              0.0012476,              0.0012476,              0.0012476
                     40,                0.29446,                  0.533,                0.21281,                0.93186,                0.99991,                      1,                  0.995,                0.98862,                0.99991,                      1,                  0.995,                0.98389,                 0.2358,                0.32501,                0.27237,                0.49384,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.2938,                 0.5252,                0.21062,                0.93528,                0.99986,                      1,                  0.995,                0.98608,                0.99986,                      1,                  0.995,                0.98091,                0.22066,                0.32576,                0.22187,                 0.5077,               0.001208,               0.001208,               0.001208
                     42,                0.29248,                0.53428,                0.20607,                0.93273,                 0.9999,                      1,                  0.995,                0.94183,                 0.9999,                      1,                  0.995,                0.94462,                0.23788,                0.32666,                0.20742,                0.49966,              0.0011882,              0.0011882,              0.0011882
                     43,                0.28928,                 0.5189,                0.20631,                0.93215,                0.99988,                      1,                  0.995,                0.98346,                0.99988,                      1,                  0.995,                 0.9785,                0.20562,                0.32758,                0.20531,                0.48035,              0.0011684,              0.0011684,              0.0011684
                     44,                0.28843,                 0.5228,                0.20618,                0.93456,                0.99983,                      1,                  0.995,                0.98772,                0.99983,                      1,                  0.995,                0.98624,                0.22994,                0.32445,                0.24518,                0.54037,              0.0011486,              0.0011486,              0.0011486
                     45,                0.29188,                0.51787,                0.20269,                0.93486,                0.99957,                0.99689,                  0.995,                0.98314,                0.99957,                0.99689,                  0.995,                0.98295,                0.21673,                0.32104,                0.47208,                0.48857,              0.0011288,              0.0011288,              0.0011288
                     46,                0.28862,                  0.524,                0.20423,                0.93505,                0.99984,                      1,                  0.995,                0.98426,                0.99984,                      1,                  0.995,                0.98415,                0.26198,                  0.315,                0.23907,                0.53429,               0.001109,               0.001109,               0.001109
                     47,                0.28529,                0.52196,                0.20139,                0.93208,                0.99986,                      1,                  0.995,                0.98698,                0.99986,                      1,                  0.995,                0.98605,                0.18986,                0.30941,                0.26019,                0.47253,              0.0010892,              0.0010892,              0.0010892
