                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.68278,                 0.6938,                 1.0458,                0.83011,                0.83756,                0.88239,                0.77942,                0.49989,                0.49373,                0.94779,               0.003565,               0.003565,               0.003565
                     68,                0.68089,                0.68096,                  1.044,                0.83651,                  0.834,                0.88276,                0.78077,                0.49937,                0.49295,                0.94778,               0.003466,               0.003466,               0.003466
                     69,                0.67784,                0.68477,                 1.0416,                0.83736,                 0.8341,                0.88281,                0.78121,                0.49895,                0.49235,                0.94737,               0.003367,               0.003367,               0.003367
                     70,                 0.6764,                0.67598,                 1.0414,                0.83528,                0.83571,                0.88298,                0.78122,                0.49829,                0.49193,                0.94659,               0.003268,               0.003268,               0.003268
                     71,                0.67845,                0.67832,                 1.0449,                0.83581,                0.83452,                0.88336,                 0.7814,                0.49782,                0.49117,                0.94652,               0.003169,               0.003169,               0.003169
                     72,                0.67055,                 0.6706,                 1.0392,                0.83508,                0.83491,                0.88387,                 0.7816,                0.49696,                0.49006,                0.94597,                0.00307,                0.00307,                0.00307
                     73,                0.67269,                 0.6769,                 1.0423,                0.83437,                0.83552,                0.88419,                0.78218,                0.49652,                0.48936,                0.94527,               0.002971,               0.002971,               0.002971
                     74,                0.67031,                0.67594,                 1.0405,                0.82328,                0.84304,                0.88457,                0.78212,                0.49686,                0.48905,                0.94586,               0.002872,               0.002872,               0.002872
                     75,                 0.6724,                0.66839,                 1.0389,                0.83239,                0.83969,                0.88509,                0.78259,                0.49763,                 0.4887,                0.94628,               0.002773,               0.002773,               0.002773
                     76,                0.66979,                0.66694,                 1.0407,                0.83236,                0.83933,                0.88541,                0.78298,                0.49731,                0.48821,                0.94618,               0.002674,               0.002674,               0.002674
                     77,                0.66904,                0.66555,                 1.0408,                0.83045,                0.84056,                0.88553,                0.78333,                0.49689,                0.48774,                0.94568,               0.002575,               0.002575,               0.002575
                     78,                0.66576,                0.66141,                 1.0376,                0.82727,                0.84296,                 0.8859,                0.78391,                 0.4966,                0.48753,                0.94559,               0.002476,               0.002476,               0.002476
                     79,                0.66748,                0.65698,                 1.0378,                0.82823,                0.84351,                0.88604,                0.78394,                0.49646,                0.48727,                0.94556,               0.002377,               0.002377,               0.002377
                     80,                0.66314,                 0.6573,                 1.0376,                0.82837,                0.84295,                0.88624,                 0.7839,                0.49613,                0.48648,                0.94529,               0.002278,               0.002278,               0.002278
                     81,                 0.6602,                0.65515,                 1.0345,                 0.8289,                0.84309,                 0.8864,                0.78423,                0.49608,                0.48616,                0.94504,               0.002179,               0.002179,               0.002179
                     82,                0.66372,                0.65032,                 1.0353,                0.82624,                0.84441,                0.88663,                 0.7843,                0.49615,                0.48584,                0.94512,                0.00208,                0.00208,                0.00208
                     83,                0.65941,                0.64785,                  1.033,                0.82534,                0.84593,                0.88682,                0.78479,                0.49616,                0.48542,                0.94514,               0.001981,               0.001981,               0.001981
                     84,                0.65937,                0.64797,                 1.0355,                0.82603,                0.84517,                0.88719,                0.78466,                0.49614,                0.48512,                0.94505,               0.001882,               0.001882,               0.001882
                     85,                0.65664,                0.63979,                  1.031,                0.82774,                0.84555,                0.88727,                0.78514,                0.49597,                0.48457,                0.94475,               0.001783,               0.001783,               0.001783
                     86,                0.65687,                 0.6392,                 1.0339,                0.82782,                0.84581,                0.88762,                0.78517,                0.49617,                0.48441,                0.94465,               0.001684,               0.001684,               0.001684
                     87,                 0.6568,                0.63679,                 1.0311,                0.83257,                0.84152,                0.88783,                0.78532,                0.49626,                0.48393,                0.94462,               0.001585,               0.001585,               0.001585
                     88,                0.65385,                0.62955,                 1.0306,                0.83278,                0.84143,                0.88799,                0.78577,                0.49636,                0.48377,                0.94461,               0.001486,               0.001486,               0.001486
                     89,                0.65069,                0.63161,                 1.0299,                0.83125,                0.84447,                0.88841,                0.78563,                0.49602,                0.48335,                0.94437,               0.001387,               0.001387,               0.001387
                     90,                0.64332,                 0.6199,                 1.0248,                0.83206,                0.84326,                0.88861,                0.78567,                0.49593,                0.48286,                 0.9442,               0.001288,               0.001288,               0.001288
                     91,                0.47502,                0.51484,                0.96865,                0.83457,                0.84198,                0.88874,                 0.7856,                0.49582,                0.48238,                0.94443,               0.001189,               0.001189,               0.001189
                     92,                0.47262,                0.50007,                0.96901,                0.83361,                0.84238,                0.88913,                0.78579,                0.49553,                0.48187,                 0.9443,                0.00109,                0.00109,                0.00109
                     93,                0.46605,                0.48392,                 0.9659,                0.83649,                0.84065,                0.88928,                0.78666,                0.49504,                0.48118,                 0.9441,               0.000991,               0.000991,               0.000991
                     94,                0.46649,                0.48576,                0.96091,                0.83799,                0.83978,                0.88936,                0.78724,                 0.4952,                0.48094,                0.94398,               0.000892,               0.000892,               0.000892
                     95,                0.46362,                0.47307,                0.96241,                0.84438,                0.83449,                 0.8894,                0.78711,                0.49569,                0.48071,                0.94417,               0.000793,               0.000793,               0.000793
                     96,                0.45815,                0.47235,                0.96161,                0.84676,                0.83342,                0.88994,                0.78765,                0.49592,                 0.4804,                0.94412,               0.000694,               0.000694,               0.000694
                     97,                0.45795,                 0.4662,                0.95956,                0.84737,                0.83374,                 0.8901,                0.78815,                0.49591,                0.48015,                0.94407,               0.000595,               0.000595,               0.000595
                     98,                0.45826,                0.46538,                0.96152,                0.84931,                0.83317,                0.89012,                0.78844,                0.49606,                0.48001,                0.94407,               0.000496,               0.000496,               0.000496
                     99,                0.45525,                0.45961,                0.95833,                0.84352,                0.83674,                0.89015,                0.78853,                  0.496,                0.47943,                0.94406,               0.000397,               0.000397,               0.000397
                    100,                0.45374,                0.45887,                0.95708,                0.84371,                0.83701,                0.89051,                0.78897,                0.49557,                0.47883,                0.94389,               0.000298,               0.000298,               0.000298
